"ID","Name_Lang_enUS","Name_Lang_enGB","Name_Lang_koKR","Name_Lang_frFR","Name_Lang_deDE","Name_Lang_enCN","Name_Lang_zhCN","Name_Lang_enTW","Name_Lang_zhTW","Name_Lang_esES","Name_Lang_esMX","Name_Lang_ruRU","Name_Lang_ptPT","Name_Lang_ptBR","Name_Lang_itIT","Name_Lang_Unk","Name_Lang_Mask","Order_Index","Parent_Group_Id","Typeid"
"5","Wrath of the Lich King Heroic","","","","","","","","","","","","","","","","16712190","1","0","5"
"4","Wrath of the Lich King Normal","","","","","","","","","","","","","","","","16712190","2","0","1"
"3","Burning Crusade Heroic","","","","","","","","","","","","","","","","16712190","3","0","5"
"2","Burning Crusade Normal","","","","","","","","","","","","","","","","16712190","4","0","1"
"1","Classic Dungeons","","","","","","","","","","","","","","","","16712190","5","0","1"
"9","Wrath of the Lich King Raid (25)","","","","","","","","","","","","","","","","16712190","17","0","2"
"8","Wrath of the Lich King Raid (10)","","","","","","","","","","","","","","","","16712190","18","0","2"
"7","Burning Crusade Raid","","","","","","","","","","","","","","","","16712190","19","0","2"
"6","Classic Raid","","","","","","","","","","","","","","","","16712190","20","0","2"
"11","World Events","","","","","","","","","","","","","","","","16712190","21","0","0"
"15","DC Heroic 5-Player","","","","","","","","","","","","","","","","16712190","0","0","5"
"16","DC Mythic 5-Player","","","","","","","","","","","","","","","","16712190","0","0","5"
"17","DC Heroic 10-Player","","","","","","","","","","","","","","","","16712190","0","0","5"
"18","DC Heroic 25-Player","","","","","","","","","","","","","","","","16712190","0","0","5"
"19","DC Mythic+ 5-Player","","","","","","","","","","","","","","","","16712190","0","0","5"
"20","DC Mythic 10-Player","","","","","","","","","","","","","","","","16712190","0","0","5"
"21","DC Mythic 25-Player","","","","","","","","","","","","","","","","16712190","0","0","5"
